tier1,tier2,hours_per_day,growth_collection,processing,preparation,material,energy,things,buildings,infrastructure,inhabited,waste,sleep,hygiene_grooming,childcare,adultcare,moving_things,moving_people,organization,education_research,meals,active_rec,religious,social,interactive,passive,work_employment,work_other,unknown
Employment and related activities ,Providing paid business and professional services in households and household enterprises ,0.1,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan
Employment and related activities ,Transporting goods and passengers for pay or profit in households and household enterprises,0.1,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan
Employment and related activities ,Providing paid personal care services in households and household enterprises ,0.016666667,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan
Employment and related activities ,Providing paid domestic services ,0.033333333,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan
Employment and related activities ,Other activities related to employment in households and household enterprises providing services,0.133333333,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan
Employment and related activities ,Activities ancillary to employment,0.133333333,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan
Employment and related activities ,Breaks during working time within employment ,0.033333333,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan
Employment and related activities ,Training and studies in relation to employment ,0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan
Employment and related activities ,Seeking employment,0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan
Employment and related activities ,Setting up a business,0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan
Employment and related activities ,Employment-related travel,0.15,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Employment and related activities ,Commuting,0.233333333,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Production of goods for own final use ,"Growing crops and kitchen gardening, for own final use ",0.183333333,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Production of goods for own final use ,"Farming of animals and production of animal products, for own final use",0.116666667,0.6;0.15,0.4;0.15,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Production of goods for own final use ,"Hunting, trapping and production of animal skins, for own final use ",0,0.5;0.25,nan;nan,nan;nan,nan;nan,nan;nan,0.5;0.25,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Production of goods for own final use ,"Forestry and logging, for own final use ",0,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Production of goods for own final use ,"Gathering wild products, for own final use ",0,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Production of goods for own final use ,"Fishing, for own final use",0,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Production of goods for own final use ,"Aquaculture, for own final use ",0,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Production of goods for own final use ,"Mining and quarrying, for own final use ",0,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Production of goods for own final use ,"Making, processing food products, beverages and tobacco for own final use",0,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Production of goods for own final use ,"Making, processing textiles, wearing apparel, leather and related products, for own final use ",0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Production of goods for own final use ,"Making, processing of wood and bark products, for own final use ",0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Production of goods for own final use ,"Making, processing bricks, concrete slabs, hollow blocks, tiles for own final use",0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Production of goods for own final use ,"Making, processing herbal and medicinal preparations for own final use ",0,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Production of goods for own final use ,"Making, processing metals and metal products for own final use",0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Production of goods for own final use ,"Making, processing of products using other materials for own final use",0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Production of goods for own final use ,Acquiring supplies and disposing of products and other activities related to making and processing goods for own final use ,0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,0.6;0.175,nan;nan,nan;nan,nan;nan,0.4;0.175,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Production of goods for own final use ,Construction activities for own final use,0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Production of goods for own final use ,Gathering firewood and other natural products used as fuel for own final use,0.016666667,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Production of goods for own final use ,Fetching water from natural and other sources for own final use ,0.05,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Production of goods for own final use ,"Travelling, moving, transporting or accompanying goods or persons related to own-use production of goods ",0.016666667,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,0.9;0.05,0.1;0.05,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Unpaid domestic services for household and family members ,Preparing meals/snacks,0.833333333,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Unpaid domestic services for household and family members ,Serving meals/snacks,0.133333333,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Unpaid domestic services for household and family members ,Cleaning up after food preparation/meals/snacks ,0.25,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Unpaid domestic services for household and family members ,"Storing, arranging, preserving food stocks ",0.016666667,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Unpaid domestic services for household and family members ,Other activities related to food and meals management and preparation,0.05,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Unpaid domestic services for household and family members ,Indoor cleaning,0.266666667,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Unpaid domestic services for household and family members ,Outdoor cleaning,0.1,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Unpaid domestic services for household and family members ,Recycling and disposal of garbage ,0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Unpaid domestic services for household and family members ,"Upkeep of in/outdoor plants, hedges, garden, grounds, landscape, etc.",0.016666667,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Unpaid domestic services for household and family members ,"Tending furnace, boiler, fireplace for heating and water supply ",0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Unpaid domestic services for household and family members ,Other activities related to cleaning and upkeep of dwelling and surroundings,0.016666667,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Unpaid domestic services for household and family members ,"Do-it-yourself improvement, maintenance and repair of own dwelling",0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Unpaid domestic services for household and family members ,"Installation, servicing and repair of personal and household goods including ICT equipment ",0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,0.6;0.15,0.4;0.15,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Unpaid domestic services for household and family members ,Vehicle maintenance and repairs ,0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Unpaid domestic services for household and family members ,"Other activities related to do-it-yourself decoration, maintenance and repair",0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,0.4;0.15,0.6;0.15,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Unpaid domestic services for household and family members ,Hand/machine-washing,0.183333333,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Unpaid domestic services for household and family members ,"Drying; hanging out, bringing in wash ",0.033333333,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Unpaid domestic services for household and family members ,Ironing/pressing/folding ,0.016666667,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Unpaid domestic services for household and family members ,Mending/repairing and care of clothes and shoes; cleaning and polishing shoes,0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Unpaid domestic services for household and family members ,Other activities related to care of textiles and footwear ,0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Unpaid domestic services for household and family members ,Paying household bills ,0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Unpaid domestic services for household and family members ,"Budgeting, planning, organizing duties and activities in the household",0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Unpaid domestic services for household and family members ,Other activities related to household management ,0.016666667,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Unpaid domestic services for household and family members ,Daily pet care ,0.05,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
Unpaid domestic services for household and family members ,"Using veterinary care or other pet care services (grooming, stabling, holiday or day care)",0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,1.0;0.0,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan,nan;nan
